t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1545119472,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119473,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119473,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119474,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119474,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119475,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119475,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119476,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119476,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119499,22,7.459815,0.000000,0.000000,0.000000,events/second
1545119500,22,5.572481,0.000000,0.000000,0.000000,events/second
1545119501,86,17.380497,0.000000,0.000000,0.000000,events/second
1545119501,122,23.015993,18.400000,18.400000,18.400000,events/second
1545119502,186,31.270553,18.400000,18.400000,18.400000,events/second
1545119502,222,35.235948,18.400000,18.400000,18.400000,events/second
1545119503,287,41.306273,18.400000,18.400000,18.400000,events/second
1545119503,322,44.107642,18.400000,18.400000,18.400000,events/second
1545119504,387,48.691182,18.400000,18.400000,18.400000,events/second
1545119504,422,50.841181,18.400000,18.400000,18.400000,events/second
1545119505,487,54.425205,18.400000,18.400000,18.400000,events/second
1545119505,522,56.126559,18.400000,18.400000,18.400000,events/second
1545119506,587,59.006680,18.400000,18.400000,18.400000,events/second
